Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,1146.23
1_2_2012-11-02,10150.83
1_3_2012-11-02,6178.72
1_4_2012-11-02,9034.55
1_5_2012-11-02,9222.15
1_6_2012-11-02,1792.33
1_7_2012-11-02,13661.15
1_8_2012-11-02,11093.91
1_9_2012-11-02,10663.83
1_10_2012-11-02,11353.4
1_11_2012-11-02,12402.98
1_12_2012-11-02,2523.27
1_13_2012-11-02,8684.39
1_14_2012-11-02,4500.6
1_16_2012-11-02,13245.32
1_17_2012-11-02,2293.83
1_18_2012-11-02,2724.55
1_19_2012-11-02,829.56
1_20_2012-11-02,1685.93
1_21_2012-11-02,1423.16
1_22_2012-11-02,2765.61
1_23_2012-11-02,8741.11
1_24_2012-11-02,2820.85
1_25_2012-11-02,3572.95
1_26_2012-11-02,1909.97
1_27_2012-11-02,425.54
1_28_2012-11-02,141.5
1_29_2012-11-02,1255.37
1_30_2012-11-02,1248.3
1_31_2012-11-02,781.84
1_32_2012-11-02,3792.46
1_33_2012-11-02,2546.27
1_34_2012-11-02,4324.59
1_35_2012-11-02,1308.81
1_36_2012-11-02,921.34
1_37_2012-11-02,921.34
1_38_2012-11-02,8432.5
1_40_2012-11-02,4727.66
1_41_2012-11-02,468.48
1_42_2012-11-02,3394.13
1_44_2012-11-02,1618.66
1_46_2012-11-02,2445.86
1_48_2012-11-02,77.55
1_49_2012-11-02,22.87
1_52_2012-11-02,1030.18
1_55_2012-11-02,5742.36
1_56_2012-11-02,3404.71
1_58_2012-11-02,1329.5
1_59_2012-11-02,78.72
1_60_2012-11-02,178.46
1_67_2012-11-02,3408.23
1_71_2012-11-02,1092.97
1_72_2012-11-02,33277.1
1_74_2012-11-02,5159.4
1_79_2012-11-02,7292.4
1_80_2012-11-02,19.79
1_81_2012-11-02,1716.54
1_82_2012-11-02,4681.1
1_83_2012-11-02,174.3
1_85_2012-11-02,1003.59
1_87_2012-11-02,1802.12
1_90_2012-11-02,1681.85
1_91_2012-11-02,1024.35
1_92_2012-11-02,6080.33
1_93_2012-11-02,35291.01
1_94_2012-11-02,38193.9
1_95_2012-11-02,18671.06
1_96_2012-11-02,10134.39
1_97_2012-11-02,5011.91
1_98_2012-11-02,8219.41
1_99_2012-11-02,1963.36
1_1_2012-11-09,1146.23
1_2_2012-11-09,10091.9
1_3_2012-11-09,6178.72
1_4_2012-11-09,9033.67
1_5_2012-11-09,9222.15
1_6_2012-11-09,1805.68
1_7_2012-11-09,13608.28
1_8_2012-11-09,11063.87
1_9_2012-11-09,10621.48
1_10_2012-11-09,11353.84
1_11_2012-11-09,12402.98
1_12_2012-11-09,2527.88
1_13_2012-11-09,8684.39
1_14_2012-11-09,4500.6
1_16_2012-11-09,13173.13
1_17_2012-11-09,2293.83
1_18_2012-11-09,2759.64
1_19_2012-11-09,865.89
1_20_2012-11-09,1685.93
1_21_2012-11-09,1423.16
1_22_2012-11-09,2765.17
1_23_2012-11-09,8688.18
1_24_2012-11-09,2820.85
1_25_2012-11-09,3523.21
1_26_2012-11-09,1909.97
1_27_2012-11-09,420.6
1_28_2012-11-09,141.5
1_29_2012-11-09,1255.37
1_30_2012-11-09,1251.81
1_31_2012-11-09,781.84
1_32_2012-11-09,3960.71
1_33_2012-11-09,2529.82
1_34_2012-11-09,4298.07
1_35_2012-11-09,1308.81
1_36_2012-11-09,921.34
1_37_2012-11-09,921.34
1_38_2012-11-09,8432.5
1_40_2012-11-09,4727.66
1_41_2012-11-09,465.43
1_42_2012-11-09,3367.39
1_44_2012-11-09,1618.66
1_46_2012-11-09,2445.86
1_48_2012-11-09,77.55
1_49_2012-11-09,22.87
1_52_2012-11-09,1030.18
1_55_2012-11-09,5831.05
1_56_2012-11-09,3404.71
1_58_2012-11-09,1330.0
1_59_2012-11-09,78.72
1_60_2012-11-09,178.46
1_67_2012-11-09,3421.06
1_71_2012-11-09,1082.07
1_72_2012-11-09,33362.38
1_74_2012-11-09,5158.91
1_79_2012-11-09,7282.53
1_80_2012-11-09,19.79
1_81_2012-11-09,1716.54
1_82_2012-11-09,4722.41
1_83_2012-11-09,172.39
1_85_2012-11-09,1006.11
1_87_2012-11-09,1802.12
1_90_2012-11-09,1681.85
1_91_2012-11-09,1024.35
1_92_2012-11-09,6080.33
1_93_2012-11-09,35291.01
1_94_2012-11-09,38193.9
1_95_2012-11-09,18671.06
1_96_2012-11-09,10134.39
1_97_2012-11-09,5011.91
1_98_2012-11-09,8219.41
1_99_2012-11-09,1963.36
1_1_2012-11-16,1146.23
1_2_2012-11-16,10150.83
1_3_2012-11-16,6214.98
1_4_2012-11-16,9060.71
1_5_2012-11-16,8732.26
1_6_2012-11-16,1726.11
1_7_2012-11-16,13017.84
1_8_2012-11-16,11122.18
1_9_2012-11-16,10535.63
1_10_2012-11-16,11457.03
1_11_2012-11-16,12759.91
1_12_2012-11-16,2725.44
1_13_2012-11-16,8704.8
1_14_2012-11-16,3883.32
1_16_2012-11-16,13658.5
1_17_2012-11-16,2202.33
1_18_2012-11-16,2312.64
1_19_2012-11-16,776.11
1_20_2012-11-16,1571.71
1_21_2012-11-16,1334.41
1_22_2012-11-16,2632.61
1_23_2012-11-16,8731.29
1_24_2012-11-16,2805.1
1_25_2012-11-16,3644.21
1_26_2012-11-16,1909.89
1_27_2012-11-16,429.25
1_28_2012-11-16,141.44
1_29_2012-11-16,1278.73
1_30_2012-11-16,1275.97
1_31_2012-11-16,776.29
1_32_2012-11-16,4104.34
1_33_2012-11-16,2601.98
1_34_2012-11-16,4359.65
1_35_2012-11-16,1306.96
1_36_2012-11-16,932.49
1_37_2012-11-16,932.49
1_38_2012-11-16,8432.5
1_40_2012-11-16,4727.66
1_41_2012-11-16,467.21
1_42_2012-11-16,3368.6
1_44_2012-11-16,1605.86
1_46_2012-11-16,2446.33
1_48_2012-11-16,77.52
1_49_2012-11-16,22.57
1_52_2012-11-16,798.48
1_54_2012-11-16,49.2
1_55_2012-11-16,5331.93
1_56_2012-11-16,3482.1
1_58_2012-11-16,1341.75
1_59_2012-11-16,77.78
1_60_2012-11-16,179.3
1_67_2012-11-16,3399.42
1_71_2012-11-16,1119.49
1_72_2012-11-16,31825.57
1_74_2012-11-16,5130.04
1_79_2012-11-16,7279.46
1_80_2012-11-16,6.21
1_81_2012-11-16,1716.54
1_82_2012-11-16,4642.76
1_83_2012-11-16,171.23
1_85_2012-11-16,987.13
1_87_2012-11-16,1805.66
1_90_2012-11-16,1677.72
1_91_2012-11-16,1019.88
1_92_2012-11-16,6080.33
1_93_2012-11-16,35291.01
1_94_2012-11-16,38193.9
1_95_2012-11-16,19072.78
1_96_2012-11-16,10134.39
1_97_2012-11-16,5010.18
1_98_2012-11-16,8219.41
1_1_2012-11-23,1161.89
1_2_2012-11-23,10258.53
1_3_2012-11-23,6199.21
1_4_2012-11-23,9296.8
1_5_2012-11-23,10606.18
1_6_2012-11-23,1769.06
1_7_2012-11-23,9983.0
1_8_2012-11-23,11021.35
1_9_2012-11-23,11697.57
1_10_2012-11-23,12268.98
1_11_2012-11-23,13394.76
1_12_2012-11-23,2682.54
1_13_2012-11-23,8708.18
1_14_2012-11-23,4140.09
1_16_2012-11-23,12395.8
1_17_2012-11-23,2336.84
1_18_2012-11-23,1763.88
1_19_2012-11-23,459.25
1_20_2012-11-23,1646.12
1_21_2012-11-23,1319.72
1_22_2012-11-23,2784.96
1_23_2012-11-23,8772.8
1_24_2012-11-23,2812.15
1_25_2012-11-23,3705.27
1_26_2012-11-23,1736.65
1_27_2012-11-23,435.32
1_28_2012-11-23,143.1
1_29_2012-11-23,1280.27
1_30_2012-11-23,1282.12
1_31_2012-11-23,789.83
1_32_2012-11-23,3954.16
1_33_2012-11-23,3036.13
1_34_2012-11-23,4608.56
1_35_2012-11-23,1289.79
1_36_2012-11-23,747.11
